No,Tanggal,Problem,Replace,Counter,Teknisi
1,2016-01-13,,instal new,1476381, lutfi 
2,2016-02-13,,isi toner + cip toner,1484794, budi 
3,2016-02-24,,roll ADF tidak ada,1487111, budi 
4,2016-03-04,,"ganti pemanas, next kwitansi bln lalu blm ada PPN, kwitansi bulan ini",1488607, budi 
5,2016-03-04,,minta fraktur pajak,, budi 
6,2016-04-13,,"isi toner, cek mesin +invoice",1496773, budi 
7,2016-05-25,,replace cip toner + service drum catridge (hasil masih pucat),, budi 
8,2016-05-25,,next : drum catridge,1505678, budi 
9,2016-05-27,,service drum catridge,1506391, budi 
10,2016-06-14,,invoice + cek mesin (ADF mati),1510763, budi 
11,2016-06-17,,ganti ADF,1511400, BUDI 
12,2016-07-13,,ganti chip drum,1515260, budi 
13,2016-08-18,,invoice + isi toner,1523957, budi 
14,2016-09-19,,invoice + is toner + chip toner,1532251, budi 
15,2016-10-13,,invoice + service drum catrodge (ganti drum) ganti developer,1539832, budi 
16,2016-11-15,,"invoice, isi toner",1547293, budi 
17,2016-12-15,,"invoice, isi toner, perpanjang chip",1554838, budi 
18,2016-12-19,,ganti ADF,1556548, budi 
19,2017-01-17,,"invoice, cek mesin",1563548, budi 
20,2017-02-15,,"invoice, cek mesin",1570526, budi 
21,2017-03-12,,"invoice, isi toner, next klip ADF  (Patah)",1576232, budi 
22,2017-03-21,,ganti handle ADF,, Bbg 
23,2017-04-13,,"invoice, cek mesin",1582514, budi 
24,2017-05-25,,"antar berkas, cek mesin , next drum catridge ready",1590630, budi 
25,2017-07-14,,"invoice, isi toner",1602045, budi 
26,2017-08-14,,"invoice, drum catridge",1608051, budi 
27,2017-09-14,,"invoice, cek mesin, dan isi toner",1614978, budi 
28,2017-10-16,,"invoice, isi toner",1622401, budi 
29,2017-11-13,,"invoice, next chip toner, toner",1629044, budi 
30,2017-12-13,,"invoice, isi toner , next chip toner",1636789, budi 
31,2018-01-15,,"isi toner, next chip toner",1646024, budi 
32,2018-02-14,,"isi toner, chip toner",1655702, budi 
33,2018-03-14,,"invoice,",1664778, budi 
34,2018-04-11,,"service drum catridge, chip drum, isi toner",1672067, budi 
35,2018-04-11,,"stock toner, next pemanas (upper)",, budi 
36,2018-04-16,,"invoice, next pemanas",1672888, budi 
37,2018-04-19,,"service drum catridge, ganti drum , ganti pemanas , catridge masih",1673690, budi 
38,2018-04-19,,background ,, budi 
39,2018-05-14,,"isi toner, invoice",, budi 
40,2018-06-25,,"invoice, ganti chip toner",1693495, budi 
41,2018-07-06,,Ganti drum catridge,1696811, budi 
42,2018-07-16,,"invoice, cek mesin",1700110, budi 
43,2018-08-15,,toner tinggal 1/2,1707222, budi 
44,2018-08-19,,isi toner,1708468, budi 
45,2018-11-14,,ganti drum only,1732335, budi 
46,2018-11-29,,service pemanas,1735106, budi 
47,2018-12-28,,isi toner,1744046, budi 
48,2019-01-14,,cek,1747044, budi 
49,2019-02-12,,isi toner,1755247, budi 
50,2019-03-13,,cek ,1762036, budi 
51,2019-04-26,,"tukar mesin dc 286, 2055",663844, darman.lutfi 
52,2019-05-23,,"sudah isi toner, ganti chip toner",671440, juari 
53,2019-07-10,,cek meter,682920, Call 
54,2019-07-11,,"invoice, service catridge ",683069, budi 
55,2019-08-14,,cek ,691342, budi 
56,2019-09-12,,"invoice, isi toner",698658, budi 
57,2019-10-24,,"isi toner,ganti drum chip, kuras limbah drum ,next paper size tray 2",710158, budi 
58,2019-10-28,,"cek mesin, next paper size tray 2",711457, budi 
59,2020-01-14,,"next toner, drum",730844, budi 
60,2020-01-15,,"isi toner , ganti drum only",730973, budi 
61,2020-02-14,,"isi toner, ganti paper size",737999, budi 
62,2020-03-13,,"isi toner , invoice",746733, budi 
63,2020-03-20,,service,749638, budi 
64,2020-05-13,,"next toner, chip drum",756932, budi 
65,2020-05-15,,"isi toner , chip drum",757193, budi 
66,2020-08-06,,"Isi toner, chip toner , kuras drum catridge",773211, budi 
67,2020-09-10,,next toner,781441, budi 
68,2020-09-11,,isi toner,781890, sol 
69,2020-10-27,,"ganti platuk sensor pemanas ,kuras limbah drum catridge , isi toner",792279, budi 
70,2020-12-12,124-373,"service, ganti chip drum, next toner chip toner, drum only",801034, budi 
71,2020-12-14,,"ganti drum only, isi toner , ganti chip",801344, jun 
72,2021-04-22,,"service, drum catridge isi toner",828317, budi 
73,2021-04-29,,ganti pemanas,830305, budi 
74,2021-05-27,,ganti pemanas,835410, budi 
75,2021-07-15,,"ganti chip drum, isi toner ",845178, edy s 
76,2021-09-14,,"paper jam, by sisi yg dicover A patah, service ok",855457, sol 
77,2021-10-05,,"ganti drum, isi toner",863507, budi 
78,2021-11-05,,"cek mesin, next toner ,cover A (sisir dilem)",876060, budi 
79,2021-11-13,,cek meter (next toner),877987, sol 
80,2021-11-16,,"toner habis, isi toner",878911, sol 
81,2022-02-09,,isi toner,898218, budi 
82,2022-03-08,,isi toner,909178, budi 
83,2022-04-13,,"cek meter, next toner",923473, budi 
84,2022-04-14,,isi toner,924593, budi 
85,2022-05-18,,isi toner,935218, budi 
86,2022-06-09,,"cek meter, next drum only",940378, budi 
87,2022-06-10,,ganti drum only,940440, budi 
88,2022-08-16,,"isi toner, cleaning , invoice",956494, sol 
