No,Tanggal,Problem,Replace,Counter,Teknisi
1,2016-08-16,,cek hasil kepotong,354161, bbg 
2,2016-09-22,,"010-327, hasil kurang hitam",, virgi 
3,2016-09-23,,ganti pemanas,354819, budi 
4,2016-10-17,ok,invoice + cek meter bahan pakai,355098, toni 
5,2017-02-17,,"invoice, cek mesin",358195, budi 
6,2017-03-16,,invoice,358763, jun 
7,2017-03-22,,cek meter,358845, juari&lutfi 
8,2017-04-17,,"ganti developing, ok",360201, reza 
9,2017-06-14,,"invoice ga ada orang, next drum catridge",361167, jun 
10,2017-07-10,,"Ganti ulir catridge, ok, next toner",361520, reza 
11,2017-08-03,,ganti HVT Ok,362303, reza 
12,2017-08-18,,"invoice, cek meter",362720, reza 
13,2017-08-19,,service catridge,362738, reza 
14,2017-11-15,,"invoice , cek mesin",366340, reza 
15,2017-12-15,,"invoice, ",367408, budi 
16,2018-01-17,,invoice,368200, jun 
17,2018-03-01,,cek meter,369062, juari 
18,2018-03-02,,"tukar mesin dc 156, meter lama",369565," darman,lutfi "
19,2018-03-03,,kirim mesin dc 156,114447," darman,lutfi "
20,2018-08-20,,"invoice, cek mesin",118282, edy 
21,2019-02-11,bunyi2,ganti catridge ,122850, jun 
22,2019-03-26,,"isi toner, ganti chip toner",160023, juna 
23,2019-10-22,,isi toner,130437, Juna 
24,2020-01-16,,tukar mesin dc 156 dengan dc 286,258288," darman,lutfi "
25,2020-03-20,,"invoice, cek meter",261821, juari 
26,2020-08-13,,"invoice, tambah toner",263589, didik 
27,2020-10-15,,"invoice, ganti pemanas , ext bsa land",265986, budi 
28,2020-11-13,,"invoice, lcd gelap",267931, jun 
29,2020-11-19,,"tukar mesin dc 2005, dc 2007",11744," darman,lutfi "
30,2020-12-14,,"luntur, invoice ,next pemanas , panel",12072, budi 
31,2021-03-24,,"invoice, next pemanas, panel, uper catridge",15956, lutfi 
32,2021-03-26,,"fuser ,pemanas assy",15963, sol 
33,2021-04-19,,invoice,16525, jun 
34,2021-05-19,,cek meter,16813, jun 
35,2021-06-07,,ganti bypass,17346, d 
36,2021-06-15,,invoice,17383, jun 
37,2021-07-14,,"invoice, ",17600, jun 
38,2021-08-18,,"invoice, next toner",17940, jun 
39,2021-08-19,,isi toner,17946, budi 
40,2022-09-02,,TUKAR MESIN KE 2007/ IR 2525,9303, D/L 
