No,Tanggal,Problem ,Replace,Counter ,Teknisi
1,2019-01-16,,kirim mesin dc 4000,594708," darman,lutfi "
2,2019-01-22,,nyangkut2 ,594926, bbg 
3,2019-01-29,,"ganti paper size , training ulang",597350, EDY 
4,2019-02-18,,next toner dan pemanas,606520, lutfi 
5,2019-03-18,,"invoice, next toner",621176, jun 
6,2019-03-19,,isi toner,621355, lutfi 
7,2019-04-04,,"service ,nyangkut2",623868, lutfi 
8,2019-04-22,010-327,ganti pemanas unit,628637, bbg 
9,2019-05-29,,"chip drum , service drum catridge ,next toner",635366, budi 
10,2019-07-18,,"toner kosong, next toner",637134, toni 
11,2019-07-19,,isi toner,637299, toni 
12,2019-08-16,,cek mesin,642117, budi 
13,2019-09-09,,"Ganti Drum Catridge ,drum onlly",645225, Boma 
14,2019-10-03,,Cek Meter,650055, Boma 
15,2019-10-30,,"isi toner, chip toneer, next paper size tray 2",660057, budi 
16,2019-10-31,,ganti paper size tray 2,660475, budi 
17,2020-01-09,,"cek meter, next toner",670997, juna 
18,2020-02-05,,"cek meter, next toner",677086, JUARI 
19,2020-02-06,,"isi toner, invoice",677623, jun 
20,2020-03-03,,cek meter,685873, sol 
21,2020-03-05,,"ganti chip drum, kuras limbah",686661, budi 
22,2020-05-05,,"invoice, cek meter",688462, lutfi 
23,2020-07-01,,cek meter,688992, budi 
24,2021-05-18,,TUKAR MESIN apeos 5010,209676," lutfi,budi "
25,2021-06-02,,"cek meter, next cantolan cover B, Pemanas",209790, juna 
26,2021-06-21,,next pemanas,209844, budi 
27,2021-06-22,,ganti pemanas,209846, budi 
28,2022-09-23,,"sisir cover A patah, baru dilem",223816, budi 
29,2022-09-28,,cluth regis,224338, jun 
30,2022-09-29,,ganti cluth regis,224340, jun 
31,2022-10-05,,"Bongkar motor tray2 , rubah A4 ke f4",224761, jun 
32,2022-10-13,,next cover A ,225087, lutfi 
33,2022-10-14,,repair cover A test 2 slide ok,225208, jun 
34,2022-10-24,,ganti drum catridge,226201, budi 
35,2022-11-08,,ganti catridge,226522, lutfi 
